Variant 7
b
x0 = 1.7, y0 = 0.5
Simple iteration method
Fi1(x,y)=-sin(x - 1) + 1.3
Fi2(x,y)=sin(y + 1) + 0.8

Jacobian:
-cos(x - 1)  0
0            cos(y + 1)

Values:
 -0.764842   0.000000 
  0.000000   0.070737 
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    | Jacobian norm 
   1  | 1.797495 |  0.655782 | 7.139943e-02 |  7.139e-02 |  1.104e-03 | 0.698502
   2  | 1.796391 |  0.584391 | 3.600391e-03 | -7.717e-04 | -3.517e-03 | 0.699291
   3  | 1.799908 |  0.585163 | 2.454812e-03 |  2.455e-03 |  1.079e-05 | 0.696773
   4  | 1.799897 |  0.582708 | 3.311781e-05 | -7.517e-06 | -3.225e-05 | 0.696781
   5  | 1.799929 |  0.582716 | 2.247337e-05 |  2.247e-05 |  8.957e-08 | 0.696758

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    
   1  | 1.802945 |  0.577046 | 4.624702e-03 | -3.550e-03 |  2.965e-03
   2  | 1.799945 |  0.582679 | 1.619186e-05 | -3.234e-06 |  1.587e-05
   3  | 1.799929 |  0.582693 | 1.388444e-10 | -9.224e-11 |  1.038e-10

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)

Alpha0 = 1 Lambda0 = 0.500

                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    |     FF    | k |   Alpha
  38  | 1.796308 |  0.580076 | 6.307354e-03 | -5.145e-03 | -3.649e-03 | 3.978e-05 | 1 | 0.500000
  39  | 1.803555 |  0.585255 | 6.263369e-03 |  5.083e-03 |  3.660e-03 | 3.923e-05 | 1 | 0.500000
  40  | 1.796367 |  0.580119 | 6.204686e-03 | -5.061e-03 | -3.589e-03 | 3.850e-05 | 1 | 0.500000
  41  | 1.803496 |  0.585213 | 6.161302e-03 |  5.000e-03 |  3.600e-03 | 3.796e-05 | 1 | 0.500000
  42  | 1.796425 |  0.580161 | 6.103702e-03 | -4.978e-03 | -3.531e-03 | 3.726e-05 | 1 | 0.500000
  43  | 1.803437 |  0.585172 | 6.060913e-03 |  4.919e-03 |  3.541e-03 | 3.673e-05 | 1 | 0.500000
  44  | 1.796482 |  0.580202 | 6.004373e-03 | -4.897e-03 | -3.474e-03 | 3.605e-05 | 1 | 0.500000
  45  | 1.803380 |  0.585132 | 5.962173e-03 |  4.839e-03 |  3.483e-03 | 3.555e-05 | 1 | 0.500000
  46  | 1.796538 |  0.580243 | 5.906673e-03 | -4.817e-03 | -3.418e-03 | 3.489e-05 | 1 | 0.500000
  47  | 1.803324 |  0.585093 | 5.865054e-03 |  4.761e-03 |  3.426e-03 | 3.440e-05 | 1 | 0.500000
  48  | 1.796592 |  0.580283 | 5.810572e-03 | -4.739e-03 | -3.363e-03 | 3.376e-05 | 1 | 0.500000
  49  | 1.803268 |  0.585054 | 5.769530e-03 |  4.683e-03 |  3.370e-03 | 3.329e-05 | 1 | 0.500000
  50  | 1.796647 |  0.580323 | 5.716045e-03 | -4.662e-03 | -3.308e-03 | 3.267e-05 | 1 | 0.500000
  51  | 1.803214 |  0.585016 | 5.675573e-03 |  4.607e-03 |  3.315e-03 | 3.221e-05 | 1 | 0.500000
  52  | 1.796700 |  0.580362 | 5.623066e-03 | -4.586e-03 | -3.255e-03 | 3.162e-05 | 1 | 0.500000
  53  | 1.803160 |  0.584978 | 5.583157e-03 |  4.532e-03 |  3.260e-03 | 3.117e-05 | 1 | 0.500000
  54  | 1.796752 |  0.580400 | 5.531609e-03 | -4.511e-03 | -3.202e-03 | 3.060e-05 | 1 | 0.500000
  55  | 1.803107 |  0.584941 | 5.492257e-03 |  4.459e-03 |  3.207e-03 | 3.016e-05 | 1 | 0.500000
  56  | 1.796804 |  0.580437 | 5.441647e-03 | -4.437e-03 | -3.150e-03 | 2.961e-05 | 1 | 0.500000
  57  | 1.803055 |  0.584905 | 5.402847e-03 |  4.386e-03 |  3.155e-03 | 2.919e-05 | 1 | 0.500000
  58  | 1.796854 |  0.580474 | 5.353157e-03 | -4.365e-03 | -3.099e-03 | 2.866e-05 | 1 | 0.500000
  59  | 1.803004 |  0.584869 | 5.314902e-03 |  4.315e-03 |  3.103e-03 | 2.825e-05 | 1 | 0.500000
  60  | 1.796904 |  0.580511 | 5.266114e-03 | -4.294e-03 | -3.049e-03 | 2.773e-05 | 1 | 0.500000
  61  | 1.802954 |  0.584834 | 5.228397e-03 |  4.245e-03 |  3.052e-03 | 2.734e-05 | 1 | 0.500000
  62  | 1.796953 |  0.580546 | 5.180494e-03 | -4.224e-03 | -2.999e-03 | 2.684e-05 | 1 | 0.500000
  63  | 1.802904 |  0.584799 | 5.143310e-03 |  4.176e-03 |  3.003e-03 | 2.645e-05 | 1 | 0.500000
  64  | 1.797001 |  0.580581 | 5.096273e-03 | -4.155e-03 | -2.951e-03 | 2.597e-05 | 1 | 0.500000
  65  | 1.802856 |  0.584765 | 5.059615e-03 |  4.108e-03 |  2.953e-03 | 2.560e-05 | 1 | 0.500000
  66  | 1.797049 |  0.580616 | 5.013428e-03 | -4.087e-03 | -2.903e-03 | 2.513e-05 | 1 | 0.500000
  67  | 1.802808 |  0.584732 | 4.977290e-03 |  4.041e-03 |  2.905e-03 | 2.477e-05 | 1 | 0.500000
  68  | 1.797095 |  0.580650 | 4.931936e-03 | -4.021e-03 | -2.856e-03 | 2.432e-05 | 1 | 0.500000
  69  | 1.802761 |  0.584699 | 4.896312e-03 |  3.976e-03 |  2.858e-03 | 2.397e-05 | 1 | 0.500000
  70  | 1.797141 |  0.580683 | 4.851775e-03 | -3.955e-03 | -2.810e-03 | 2.354e-05 | 1 | 0.500000
  71  | 1.802715 |  0.584666 | 4.816659e-03 |  3.911e-03 |  2.811e-03 | 2.320e-05 | 1 | 0.500000
  72  | 1.797186 |  0.580716 | 4.772923e-03 | -3.891e-03 | -2.764e-03 | 2.278e-05 | 1 | 0.500000
  73  | 1.802669 |  0.584634 | 4.738309e-03 |  3.848e-03 |  2.765e-03 | 2.245e-05 | 1 | 0.500000
  74  | 1.797231 |  0.580748 | 4.695357e-03 | -3.828e-03 | -2.720e-03 | 2.205e-05 | 1 | 0.500000
  75  | 1.802625 |  0.584603 | 4.661239e-03 |  3.785e-03 |  2.720e-03 | 2.173e-05 | 1 | 0.500000
  76  | 1.797275 |  0.580780 | 4.619058e-03 | -3.765e-03 | -2.676e-03 | 2.134e-05 | 1 | 0.500000
  77  | 1.802581 |  0.584572 | 4.585430e-03 |  3.724e-03 |  2.676e-03 | 2.103e-05 | 1 | 0.500000
  78  | 1.797318 |  0.580811 | 4.544003e-03 | -3.704e-03 | -2.632e-03 | 2.065e-05 | 1 | 0.500000
  79  | 1.802538 |  0.584542 | 4.510859e-03 |  3.663e-03 |  2.632e-03 | 2.035e-05 | 1 | 0.500000
  80  | 1.797360 |  0.580842 | 4.470173e-03 | -3.644e-03 | -2.590e-03 | 1.998e-05 | 1 | 0.500000
  81  | 1.802495 |  0.584512 | 4.437507e-03 |  3.604e-03 |  2.589e-03 | 1.969e-05 | 1 | 0.500000
  82  | 1.797402 |  0.580872 | 4.397546e-03 | -3.584e-03 | -2.548e-03 | 1.934e-05 | 1 | 0.500000
  83  | 1.802453 |  0.584482 | 4.365353e-03 |  3.545e-03 |  2.547e-03 | 1.906e-05 | 1 | 0.500000
  84  | 1.797442 |  0.580902 | 4.326104e-03 | -3.526e-03 | -2.506e-03 | 1.872e-05 | 1 | 0.500000
  85  | 1.802412 |  0.584453 | 4.294377e-03 |  3.488e-03 |  2.505e-03 | 1.844e-05 | 1 | 0.500000
  86  | 1.797483 |  0.580931 | 4.255827e-03 | -3.469e-03 | -2.466e-03 | 1.811e-05 | 1 | 0.500000
  87  | 1.802372 |  0.584425 | 4.224560e-03 |  3.431e-03 |  2.464e-03 | 1.785e-05 | 1 | 0.500000
  88  | 1.797522 |  0.580960 | 4.186695e-03 | -3.412e-03 | -2.426e-03 | 1.753e-05 | 1 | 0.500000
  89  | 1.802332 |  0.584397 | 4.155883e-03 |  3.376e-03 |  2.424e-03 | 1.727e-05 | 1 | 0.500000
  90  | 1.797561 |  0.580988 | 4.118690e-03 | -3.357e-03 | -2.387e-03 | 1.696e-05 | 1 | 0.500000
  91  | 1.802293 |  0.584369 | 4.088327e-03 |  3.321e-03 |  2.385e-03 | 1.671e-05 | 1 | 0.500000
  92  | 1.797600 |  0.581016 | 4.051793e-03 | -3.302e-03 | -2.348e-03 | 1.642e-05 | 1 | 0.500000
  93  | 1.802254 |  0.584342 | 4.021873e-03 |  3.267e-03 |  2.346e-03 | 1.618e-05 | 1 | 0.500000
  94  | 1.797637 |  0.581044 | 3.985986e-03 | -3.248e-03 | -2.310e-03 | 1.589e-05 | 1 | 0.500000
  95  | 1.802216 |  0.584316 | 3.956504e-03 |  3.214e-03 |  2.308e-03 | 1.565e-05 | 1 | 0.500000
  96  | 1.797675 |  0.581070 | 3.921251e-03 | -3.196e-03 | -2.273e-03 | 1.538e-05 | 1 | 0.500000
  97  | 1.802179 |  0.584289 | 3.892201e-03 |  3.162e-03 |  2.270e-03 | 1.515e-05 | 1 | 0.500000
  98  | 1.797711 |  0.581097 | 3.857570e-03 | -3.144e-03 | -2.236e-03 | 1.488e-05 | 1 | 0.500000
  99  | 1.802142 |  0.584264 | 3.828947e-03 |  3.110e-03 |  2.233e-03 | 1.466e-05 | 1 | 0.500000
 100  | 1.797747 |  0.581123 | 3.794926e-03 | -3.092e-03 | -2.200e-03 | 1.440e-05 | 1 | 0.500000
 101  | 1.802106 |  0.584238 | 3.766724e-03 |  3.060e-03 |  2.197e-03 | 1.419e-05 | 1 | 0.500000
 102  | 1.797782 |  0.581149 | 3.733302e-03 | -3.042e-03 | -2.164e-03 | 1.394e-05 | 1 | 0.500000
 103  | 1.802071 |  0.584213 | 3.705515e-03 |  3.010e-03 |  2.161e-03 | 1.373e-05 | 1 | 0.500000
 104  | 1.797817 |  0.581174 | 3.672682e-03 | -2.993e-03 | -2.129e-03 | 1.349e-05 | 1 | 0.500000
 105  | 1.802036 |  0.584189 | 3.645305e-03 |  2.961e-03 |  2.126e-03 | 1.329e-05 | 1 | 0.500000
 106  | 1.797851 |  0.581199 | 3.613048e-03 | -2.944e-03 | -2.095e-03 | 1.305e-05 | 1 | 0.500000
 107  | 1.802002 |  0.584164 | 3.586076e-03 |  2.913e-03 |  2.091e-03 | 1.286e-05 | 1 | 0.500000
 108  | 1.797885 |  0.581223 | 3.554385e-03 | -2.896e-03 | -2.061e-03 | 1.263e-05 | 1 | 0.500000
 109  | 1.801968 |  0.584141 | 3.527812e-03 |  2.866e-03 |  2.057e-03 | 1.245e-05 | 1 | 0.500000
 110  | 1.797918 |  0.581247 | 3.496676e-03 | -2.849e-03 | -2.027e-03 | 1.223e-05 | 1 | 0.500000
 111  | 1.801935 |  0.584117 | 3.470498e-03 |  2.820e-03 |  2.023e-03 | 1.204e-05 | 1 | 0.500000
 112  | 1.797951 |  0.581270 | 3.439907e-03 | -2.803e-03 | -1.994e-03 | 1.183e-05 | 1 | 0.500000
 113  | 1.801902 |  0.584094 | 3.414117e-03 |  2.774e-03 |  1.990e-03 | 1.166e-05 | 1 | 0.500000
 114  | 1.797983 |  0.581294 | 3.384061e-03 | -2.757e-03 | -1.962e-03 | 1.145e-05 | 1 | 0.500000
 115  | 1.801870 |  0.584071 | 3.358655e-03 |  2.729e-03 |  1.958e-03 | 1.128e-05 | 1 | 0.500000
 116  | 1.798014 |  0.581316 | 3.329124e-03 | -2.712e-03 | -1.930e-03 | 1.108e-05 | 1 | 0.500000
 117  | 1.801838 |  0.584049 | 3.304096e-03 |  2.685e-03 |  1.926e-03 | 1.092e-05 | 1 | 0.500000
 118  | 1.798045 |  0.581339 | 3.275080e-03 | -2.668e-03 | -1.899e-03 | 1.073e-05 | 1 | 0.500000
 119  | 1.801807 |  0.584027 | 3.250426e-03 |  2.641e-03 |  1.895e-03 | 1.057e-05 | 1 | 0.500000
 120  | 1.798076 |  0.581361 | 3.221915e-03 | -2.625e-03 | -1.868e-03 | 1.038e-05 | 1 | 0.500000
 121  | 1.801777 |  0.584006 | 3.197630e-03 |  2.598e-03 |  1.864e-03 | 1.022e-05 | 1 | 0.500000
 122  | 1.798106 |  0.581383 | 3.169615e-03 | -2.582e-03 | -1.838e-03 | 1.005e-05 | 1 | 0.500000
 123  | 1.801747 |  0.583984 | 3.145694e-03 |  2.556e-03 |  1.833e-03 | 9.895e-06 | 1 | 0.500000
 124  | 1.798135 |  0.581404 | 3.118166e-03 | -2.540e-03 | -1.808e-03 | 9.723e-06 | 1 | 0.500000
 125  | 1.801717 |  0.583963 | 3.094603e-03 |  2.515e-03 |  1.804e-03 | 9.577e-06 | 1 | 0.500000
 126  | 1.798164 |  0.581425 | 3.067553e-03 | -2.499e-03 | -1.779e-03 | 9.410e-06 | 1 | 0.500000
 127  | 1.801688 |  0.583943 | 3.044343e-03 |  2.474e-03 |  1.774e-03 | 9.268e-06 | 1 | 0.500000
 128  | 1.798193 |  0.581446 | 3.017763e-03 | -2.458e-03 | -1.750e-03 | 9.107e-06 | 1 | 0.500000
 129  | 1.801659 |  0.583923 | 2.994902e-03 |  2.434e-03 |  1.745e-03 | 8.969e-06 | 1 | 0.500000
 130  | 1.798221 |  0.581466 | 2.968783e-03 | -2.418e-03 | -1.722e-03 | 8.814e-06 | 1 | 0.500000
 131  | 1.801631 |  0.583903 | 2.946266e-03 |  2.394e-03 |  1.717e-03 | 8.680e-06 | 1 | 0.500000
 132  | 1.798249 |  0.581486 | 2.920598e-03 | -2.379e-03 | -1.694e-03 | 8.530e-06 | 1 | 0.500000
 133  | 1.801603 |  0.583883 | 2.898421e-03 |  2.355e-03 |  1.689e-03 | 8.401e-06 | 1 | 0.500000
 134  | 1.798276 |  0.581506 | 2.873197e-03 | -2.340e-03 | -1.667e-03 | 8.255e-06 | 1 | 0.500000
 135  | 1.801576 |  0.583864 | 2.851354e-03 |  2.317e-03 |  1.662e-03 | 8.130e-06 | 1 | 0.500000
 136  | 1.798303 |  0.581525 | 2.826567e-03 | -2.302e-03 | -1.640e-03 | 7.989e-06 | 1 | 0.500000
 137  | 1.801549 |  0.583845 | 2.805054e-03 |  2.280e-03 |  1.634e-03 | 7.868e-06 | 1 | 0.500000
 138  | 1.798329 |  0.581544 | 2.780694e-03 | -2.265e-03 | -1.613e-03 | 7.732e-06 | 1 | 0.500000
 139  | 1.801523 |  0.583826 | 2.759506e-03 |  2.243e-03 |  1.608e-03 | 7.615e-06 | 1 | 0.500000
